DBN,School Name,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent Overage/ Undercredited,Percent in Temp Housing,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,School Name_1,Student Achievement - Section Score,Metric Value - 4-Year Graduation Rate,Metric Value - Postsecondary Enrollment Rate - 18 Months,Metric Value - Postsecondary Enrollment Rate - 6 Months,Metric Value - College and Career Preparatory Course Index,Metric Value - 4-Year College Readiness Index,School Name_2,Metric Value - Average Score SAT Math,Metric Value - Average Score SAT Reading and Writing,Metric Value - % College Ready SAT Math,Metric Value - % College Ready SAT Reading and Writing,Metric Value - % test takers at college ready threshold Regents English,Metric Value - % Passing an Industry-Recognized Technical Assessment,school_name,overview_paragraph,neighborhood,location,phone_number,fax_number,school_email,website,grades2018,total_students,start_time,end_time,addtl_info1,extracurricular_activities,psal_sports_boys,psal_sports_girls,psal_sports_coed,school_sports,graduation_rate,attendance_rate,pct_stu_enough_variety,college_career_rate,pct_stu_safe,girls,boys,pbat,international,specialized,transfer,ptech,earlycollege,geoeligibility,primary_address_line_1,city,Postcode,state_code,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Borough,NTA_lower,nta,measure,Unemployment Rate,"Households Less than $10,000",Households With cash public assistance income,Households With Food Stamp/SNAP bnfts in the past 12 mo,Vacant housing units,Lacking complete plumbing facilities,GRAPI 35.0 percent or more,Population 25 years and over  Less than 9th grade,Percent high school graduate or higher,Percent bachelor's degree or higher,NTA_code,NTA_name,geoeligibility_b,community_school,uniforms,type
05M304,Mott Hall High School,0.75,0.75,0.66,0.84,0.9,0.86,2.487,2.164,14.000000000000002,27.200000000000003,0.025,0.807,15.1,18.4,6.8,75.0,0.803,0.532,Mott Hall High School,2.3,0.66,0.573,0.358,0.103,0.144,Mott Hall High School,441.1,447.5,4.1000000000000005,12.4,0.464,3.1,Mott Hall High School,"Our school was founded in September 2004 with the help of Replications, Inc., a nonprofit organization dedicated to the creation of new, small, successful schools. Our school is based on the same concepts of the nationally renowned Mott Hall Middle Schools. Utilizing a challenging curriculum, we focus on academics, college, and career preparation. Students use laptops and engage in cutting edge technology in the classroom as active participants, sharing their learning and education. Experiential, hands-on learning is an important part of the schoolÂ’s curriculum. We are committed to helping students develop into leaders, independent thinkers, and enthusiastic lifelong learners.",Central Harlem North,"6 Edgecombe Avenue, Manhattan NY 10030 (40.817228, -73.947151)",212-694-6020,212-690-5047,No data,http://schools.nyc.gov/SchoolPortals/05/M304/default.htm,9-12,409,8am,3:30pm,Uniform,"Knitting & Crochet, Community Service (Helping-Hands), Song/Writing Guitar, Yoga, Drama, College and Scholarship, Ballroom Dancing, Music Band","Baseball, Basketball","Basketball, Volleyball",No data,No data,0.68900001,0.870000005,0.660000026,0.456,81.0000002,False,False,False,False,False,False,False,False,No data,6 Edgecombe Avenue,Manhattan,10030,NY,40.81752922211825,-73.94729681949312,10,9,22102,1059460.0,1019600001.0,Central Harlem North-Polo Grounds                                          ,MANHATTAN,central harlem north-polo grounds,MN03 Central Harlem North-Polo Grounds,Percent,15.94066890852689,17.46528928108906,6.366894557720688,28.087823389452762,12.093934500013237,1.5329940065656718,38.888294266652395,9.109151600517105,77.24545121268837,28.764929476913576,MN03,Central Harlem North-Polo Grounds,False,False,True,No Type
05M362,Columbia Secondary School,0.86,0.84,0.73,0.89,0.9,0.9,3.744,3.657,0.3,9.5,0.01,0.46,1.5,3.5999999999999996,5.9,74.4,0.938,0.154,Columbia Secondary School,4.07,1.0,0.965,0.878,0.967,0.924,Columbia Secondary School,610.1,623.6,78.3,81.5,0.883,1.0999999999999999,Columbia Secondary School,"Columbia Secondary School (CSS) is a school serving grades six through twelve which specializes in academically talented students who have an interest in a selective and demanding program focusing on math, science, and engineering. CSS immerses students in science and math as a way of making sense of the world. Learning experiences focus on active exploration of major concepts, ideas, and theories that respond to lifeÂ’s big questions. Our students become aware of their responsibilities to their communities and to the world. At CSS, students engage in their own explorations so that they may experience the excitement of discovery.",Morningside Heights,"425 West 123rd Street, Manhattan NY 10027 (40.810793, -73.955722)",212-666-1278,212-666-3805,roxanabosch@columbiasecondary.org,www.columbiasecondary.org,6-12,667,8am,3:20pm,Extended Day Program; Uniform,"Model UN, Architecture, Architectural Design, Book Circles, Chess, Cooking, Robotics, Film, Gardening, Journalism, Musical Theater, Latin Dance, Math Bowl, Math Problem Solving, Moot Court, Multimedia Design, Neuroscience, Photography, Green Team, Urban Ecology, Contrariwise Philosophy Journal, Gay-Straight Student Alliance Student Government, Studio Art, Science Bowl, Webpage; Students serve on the Borough Advisory Council","Basketball, Rugby, Soccer","Basketball, Cross Country, Rugby, Soccer, Volleyball",No data,"Co-ed Fitness Program: Basketball, Biking, Capoeira, Hiking/Camping, Jogging, Yoga, and Soccer.",0.987999976,0.959999979,0.839999974,0.825999975,93.0000007,False,False,False,False,False,False,False,False,No data,425 West 123rd Street,Manhattan,10027,NY,40.81079,-73.9557,9,7,20901,1059526.0,1019640012.0,Morningside Heights                                                        ,MANHATTAN,morningside heights,MN09 Morningside Heights,Percent,6.764431305430216,16.40880690270753,3.2777943072498266,9.654864623623922,7.951433266386708,0.9124268570861847,39.86994513310303,6.707174573498481,87.78336059827062,64.8107034353821,MN09,Morningside Heights,False,False,True,No Type
05M367,Academy for Social Action,0.65,0.77,0.58,0.9,0.79,0.86,2.246,1.956,23.400000000000002,32.0,0.094,0.87,19.5,28.9,1.0,81.3,0.752,0.628,Academy for Social Action,2.1,0.41,0.48,0.321,0.026,0.0,Academy for Social Action,367.3,363.6,0.0,2.6,0.167,2.6,Academy for Social Action,"The Academy for Social Action is committed to combining a challenging academic curriculum with a civic-minded educational program geared toward building leadership, scholarship, and fellowship. Our students will learn to think critically, communicate effectively, and be open to new experiences and ideas as they prepare for future success in college and their careers. Students should be eager to bring change to their communities and the world.",Manhattanville,"509 West 129th Street, Manhattan NY 10027 (40.815747, -73.95552)",212-543-6301,212-234-8597,No data,http://schools.nyc.gov/SchoolPortals/05/M367/default.htm,9-12,170,8:35am,3:45pm,Extended Day Program; Saturday Programs; Summer Orientation; Uniform,"Sports and Arts Foundation, Digital Video Production, Step Team, Book, Student Government",Basketball,"Outdoor Track, Softball",Stunt,"Boys Varsity Basketball, Girls Varsity Softball, Road Runners Club, Yoga",0.579999983,0.709999979,0.439999998,0.324000001,76.9999981,False,False,False,False,False,False,False,False,No data,509 West 129th Street,Manhattan,10027,NY,40.814229706344456,-73.9564709873958,9,7,219,1059723.0,1019840033.0,Manhattanville                                                             ,MANHATTAN,manhattanville,MN06 Manhattanville,Percent,9.431206062266046,21.46371463714637,8.167281672816728,29.70479704797048,7.71850170261067,0.2829028290282903,52.79687289392101,22.331733886655428,63.07223447023732,19.84826870704189,MN06,Manhattanville,False,False,True,No Type
05M369,Urban Assembly School for the Performing Arts,0.84,0.86,0.74,0.91,0.82,0.9,2.536,2.131,7.9,24.4,0.05,0.801,11.5,17.9,2.9,50.0,0.808,0.612,Urban Assembly School for the Performing Arts,3.28,0.732,0.7,0.683,0.127,0.296,Urban Assembly School for the Performing Arts,447.0,451.6,9.9,22.5,0.518,0.0,Urban Assembly School for the Performing Arts,"We engage students in a college-preparatory curriculum that includes performing arts in all aspects of the academic experience. By using the arts as a teaching tool and allowing students to express themselves, our school breathes creativity into all subjects and builds confidence in all students. Students do not audition to enter our school. Students who may not have had access to artistic study come to our school from all five boroughs. We partner with the Tony Bennett Foundation/Exploring the Arts, the Martha Graham Dance Company, EPIC Theatre Ensemble, and The Collegiate Chorale.",Manhattanville,"509 West 129th Street, Manhattan NY 10027 (40.815747, -73.95552)",212-543-4460,212-234-4975,mmcmahon3@schools.nyc.gov,http://schools.nyc.gov/SchoolPortals/05/M369/default.htm,9-12,350,8:15am,3:15pm,Uniform,"After-school Tutoring, Band, Gospel Choir, Dance Company, Jam Sessions, Performing Arts Major Showcase, Poetry Out Loud, Gay Straight Alliance, Spring Showcase, Student Government Association, Theatre Arts, Winter Showcase, Yearbook Committee, Young Men's Club, Hip Hop Club, EPIC Theatre Shakespeare Remix",Basketball,"Outdoor Track, Softball",Stunt,"Cheerleading, Step Team, Basketball, Flag Football",0.76700002,0.810000002,0.689999998,0.614000022,87.0000005,False,False,False,False,False,False,False,False,No data,509 West 129th Street,Manhattan,10027,NY,40.814347410156216,-73.95607016811032,9,7,219,1059723.0,1019840033.0,Manhattanville                                                             ,MANHATTAN,manhattanville,MN06 Manhattanville,Percent,9.431206062266046,21.46371463714637,8.167281672816728,29.70479704797048,7.71850170261067,0.2829028290282903,52.79687289392101,22.331733886655428,63.07223447023732,19.84826870704189,MN06,Manhattanville,False,False,True,No Type
05M499,Frederick Douglass Academy,0.73,0.83,0.63,0.83,0.8,0.86,2.841,2.532,2.3,12.7,0.005,0.674,4.8,11.700000000000001,5.7,87.2,0.887,0.345,Frederick Douglass Academy,2.31,0.82,0.669,0.589,0.511,0.548,Frederick Douglass Academy,502.3,503.8,30.9,49.6,0.719,0.0,Frederick Douglass Academy,Our goal is to provide a curriculum that enables our students to enter a selective college or university of their choice. All students must abide by our 12 Non-Negotiable Rules and Student Creed.,Central Harlem North,"2581 7th Avenue, Manhattan NY 10039 (40.823988, -73.935746)",212-491-4107,212-491-4414,No data,www.fda1.org,6-12,1409,8:55am,3:15pm,Community Service Expected; Online Grading System; Summer Orientation; Uniform,"Art, Dance, Music, Chorus, Drama, Chess, Gardening, Debate, Karate, Sports, Student Government, School Radio, School Newspaper; BOTA, NY Greenhouse, Hydroponic & Horticulture Programs; Maroon & Gold Beautification Team, White & Blue Sustainability Team; National Honor Society; Hayden Math & Science Programs; Science Scholars,Leadership for Life Program; domestic and international travels (e.g. Florida, Nashville, Canada, Brazil, Japan, China, Egypt, Ghana, Spain, France, Italy, Greece, Ireland)","Baseball, Basketball, Fencing, Football, Indoor Track, Lacrosse, Outdoor Track, Soccer, Tennis, Volleyball","Basketball, Fencing, Lacrosse, Soccer, Softball, Tennis, Volleyball, Wrestling",Double Dutch,"Basketball (JV), Capoeira, Cheerleading, Double Dutch, Indoor Soccer, Martial Arts, Step, Table Tennis, Wrestling",0.685000002,0.889999986,0.860000014,0.666999996,74.000001,False,False,False,False,False,False,False,False,No data,2581 7th Avenue,Manhattan,10039,NY,40.82399,-73.9357,10,9,236,1060198.0,1020160100.0,Central Harlem North-Polo Grounds                                          ,MANHATTAN,central harlem north-polo grounds,MN03 Central Harlem North-Polo Grounds,Percent,15.94066890852689,17.46528928108906,6.366894557720688,28.087823389452762,12.093934500013237,1.5329940065656718,38.888294266652395,9.109151600517105,77.24545121268837,28.764929476913576,MN03,Central Harlem North-Polo Grounds,False,False,True,No Type
05M670,Thurgood Marshall Academy for Learning and Social,0.81,0.83,0.66,0.83,0.82,0.84,2.833,2.398,2.6,19.5,0.016,0.733,3.6999999999999997,10.0,6.0,85.7,0.906,0.241,Thurgood Marshall Academy for Learning and Social,2.66,0.812,0.718,0.595,0.188,0.317,Thurgood Marshall Academy for Learning and Social,439.0,450.9,9.9,33.7,0.493,0.0,Thurgood Marshall Academy for Learning and Social Change,"We offer our students and their families comprehensive educational and support programs that provide them with the experience and knowledge needed to meet the challenges of colleges, universities, and the workforce in the 21st century.",Central Harlem North,"200-214 West 135th Street, Manhattan NY 10030 (40.815237, -73.944299)",212-283-8055,212-283-8109,lmcdouglad@schools.nyc.gov,http://schools.nyc.gov/SchoolPortals/05/M670/default.htm,6-12,549,8:20am,2:40pm,Community Service Expected; Uniform,"Advisory, Choral Ensemble, Dance, Debate Team, International, Mentoring, Moot Court, Music, Poetry, Squash Book",Basketball,"Basketball, Outdoor Track",No data,No data,0.811999977,0.920000017,0.660000026,0.686999977,80.0000012,False,False,False,False,False,False,False,False,No data,200-214 West 135th Street,Manhattan,10030,NY,40.81524,-73.9443,10,9,228,1058843.0,1019400035.0,Central Harlem North-Polo Grounds                                          ,MANHATTAN,central harlem north-polo grounds,MN03 Central Harlem North-Polo Grounds,Percent,15.94066890852689,17.46528928108906,6.366894557720688,28.087823389452762,12.093934500013237,1.5329940065656718,38.888294266652395,9.109151600517105,77.24545121268837,28.764929476913576,MN03,Central Harlem North-Polo Grounds,False,False,True,No Type
05M692,"High School for Mathematics, Science and Engineeri",0.89,0.86,0.82,0.86,0.85,0.88,3.953,4.136,0.0,5.6000000000000005,0.002,0.363,0.2,2.8000000000000003,5.7,100.0,0.96,0.099,"High School for Mathematics, Science and Engineeri",4.63,0.991,0.979,0.985,1.0,0.991,"High School for Mathematics, Science and Engineeri",698.4,664.2,76.4,62.3,0.991,0.8999999999999999,"High School for Mathematics, Science and Engineering at City College (HSMSE)","HSMSE at City College provides a unique and unparalleled collaborative educational experience. The schoolÂ’s mission is to encourage students to develop the habits of inquiry, written and verbal expression, and critical thinking. Students are drawn from all five boroughs, making it one of the most ethnically diverse schools in New York City. The academically rigorous learning environment focuses on mathematics, science, and engineering, while emphasizing civic responsibility and the value of acquiring knowledge for its own intrinsic reward. The deep professional and personal experiences of the faculty enrich the learning community; many faculty members have earned doctorates and distinguished themselves in business, engineering, and other fields.",Manhattanville,"240 Convent Ave, Manhattan NY 10031 (40.820208, -73.950354)",212-281-6490,212-281-6918,info@hsmse.org,www.hsmse.org,9-12,475,8am,3:35pm,Internships,"Art, Astronomy, Band, Cheer, Chorus, Writing, Cross Country, Dance, Drama, Dr. Dragon, Math & Science Magazine, EAT NYC, Euro-Challenge, Fed-Challenge, Film, FIRST Tech Challenge, Gastronomy, German, Glee, Gay Straight Alliance, Harlem IS, Honor Society, Junior Statesman of America, Key Club, Mock Trial, Model UN, Modern Dance, MOUSE Squad, National Society of Black Engineers, Tutoring, Photography, Poetry, Science Research, Spades/Chess, Student Government, Tennis, Math Team, Yearbook","Baseball, Basketball, Cross Country, Outdoor Track, Soccer, Volleyball","Basketball, Soccer, Softball",No data,Table Tennis,0.978999972,0.959999979,0.720000029,0.898000002,97.0000029,False,False,False,False,True,False,False,False,No data,240 Convent Ave,Manhattan,10031,NY,40.82021,-73.9504,9,9,21703,1084085.0,1019570200.0,Manhattanville                                                             ,MANHATTAN,manhattanville,MN06 Manhattanville,Percent,9.431206062266046,21.46371463714637,8.167281672816728,29.70479704797048,7.71850170261067,0.2829028290282903,52.79687289392101,22.331733886655428,63.07223447023732,19.84826870704189,MN06,Manhattanville,False,False,False,Specialized
06M211,Inwood Early College for Health and Information Te,0.77,0.78,0.72,0.8,0.87,0.88,2.755,2.477,15.8,22.5,0.004,0.784,6.3,11.899999999999999,3.0,52.400000000000006,0.912,0.255,Inwood Early College for Health and Information Te,No data,No data,No data,No data,No data,No data,Inwood Early College for Health and Information Te,No data,No data,No dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo data,No dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo data,0.438,No dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo dataNo data,Inwood Early College for Health and Information Technologies,"IEC is a career and technical education school partnered with Microsoft, NY Presbyterian Hospital, and Guttman Community College. Through project-based learning, students earn a CTE high school diploma with technical certifications, an AssociateÂ’s DegreeÂ– at no cost Â– and work-based experience preparing them for technology related careers. Our students are future engineers, game and device designers, finance and business leaders, medical professionals, artists, and entrepreneurs. Students have up to six years to earn either their associateÂ’s degree in information technology or in business management before deciding to move directly into the job market or continue their education through the BachelorÂ’s Degree level and beyond.",Inwood,"650 Academy Street, Manhattan NY 10034 (40.865556, -73.925464)",212-567-1394,212-567-1825,inwoodearlycollege@gmail.com,www.inwoodearlycollege.net,9-12,195,8:45am,3:05pm,College Trips; Extended Day Program; Health Center; Internships; Online Grading System; Saturday Programs; Summer Bridge Program; Summer Orientation; Uniform,"National Honor Society, SkillsUSA, Health Occupations Student Association, Theater, Marching Band, Chorus, Web Design, Robotics, Dance, Volleyball, Soccer, Basketball, Baseball, Softball, Cheerleading, Poetry, Anime, Film Making, Student Government",No data,No data,No data,No data,No data,0.920000017,0.649999976,No data,91.0000026,False,False,False,False,False,False,True,True,No data,650 Academy Street,Manhattan,10034,NY,40.86556,-73.9255,12,10,291,1076776.0,1022330020.0,Marble Hill-Inwood                                                         ,MANHATTAN,marble hill-inwood,MN01 Marble Hill-Inwood,Percent,14.486210275794484,10.38088947600176,5.025319242624395,33.21224130339058,4.99895419368333,0.566930867459269,41.18983300589391,19.260819945571065,69.01062242120972,30.389488777689987,MN01,Marble Hill-Inwood,False,False,True,P-TECH
06M293,City College Academy of the Arts,0.78,0.71,0.74,0.76,0.79,0.81,3.29,3.135,3.2,12.0,0.003,0.719,1.2,7.000000000000001,12.0,86.1,0.939,0.177,City College Academy of the Arts,4.38,0.974,0.919,0.875,0.962,0.744,City College Academy of the Arts,518.7,503.5,47.4,62.8,0.825,1.3,City College Academy of the Arts,The City College Academy of the Arts (CCAA) is an early college school. CCAA focuses on providing academic support that will allow our students to begin taking college courses in the ninth grade so they can graduate high school with 60 college credits from The City College of New York (CCNY). Arts are used to support instruction across subject areas. Instruction is supported by tutors from CCNY and enriched by visits to a variety of cultural sites within New York City.,Washington Heights N.,"4600 Broadway, Manhattan NY 10040 (40.860951, -73.930082)",212-567-3164,212-567-3958,BDrysdale@schools.nyc.gov,http://schools.nyc.gov/SchoolPortals/06/M293/default.htm,6-12,609,8:15am,4pm,Community School; Extended Day Program; Uniform,"Anime, Art, Arts Exploration, Chess, Cooking, Dance, Drama, ELA and Math Tutorials, Exploring Da Heights, Fitness, Glee, Hip-Hop, Lang Science, Leadership, Music, Newspaper, Orchestra, Rock Band, Salsa, Newspaper, Singing, Skittles, Spirit Committee, Strings, Student Council, Students Against Destructive Decisions (SADD), Technology Art, Web Design","Basketball, Soccer","Softball, Volleyball",No data,We plan to offer sports based on student interest.,0.953000009,0.939999998,0.660000026,0.910000026,92.0000017,False,False,False,False,False,False,False,True,No data,4600 Broadway,Manhattan,10040,NY,40.86095,-73.9301,12,10,285,1076756.0,1021720016.0,Washington Heights North                                                   ,MANHATTAN,washington heights north,MN35 Washington Heights North,Percent,14.506172839506172,11.377010592389173,3.216947822675559,29.117300902314632,5.700861973289927,0.717928599450765,45.443155452436194,14.080807666263107,74.06275008720989,36.35934582315885,MN35,Washington Heights North,False,True,True,Early College
06M346,Community Health Academy of the Heights,0.87,0.94,0.8,0.97,0.9,0.95,2.629,2.19,18.2,17.1,0.01,0.805,4.9,15.8,6.1,72.5,0.79,0.548,Community Health Academy of the Heights,3.61,0.79,0.553,0.538,0.432,0.358,Community Health Academy of the Heights,454.5,469.1,6.2,30.9,0.482,3.6999999999999997,Community Health Academy of the Heights,"We provide a small school setting in which students learn about health-related issues facing our community. Our goal is that each student will understand and internalize the physical, emotional, and academic qualities of health that are developmentally appropriate to his or her age. We prepare our graduates for careers in healthcare through our use of a health-themed curriculum and mentoring programs supported by community partnerships, with health professionals. These opportunities promote awareness of healthy lifestyles and ensure that our students become agents of change within the community.",Washington Heights S.,"504 West 158th Street, Manhattan NY 10032 (40.833695, -73.942074)",212-342-6600,212-342-6605,mhouse@schools.nyc.gov,www.mychah.org,6-12,645,8:15am,3pm,Community School; Community Service Expected; Internships; Uniform,"After-school Music and Art Groups, After-school Tutoring Program, Community Service Program, EATwise, Freshman Leadership Initiative, Student Government, Swimming Club","Baseball, Basketball, Soccer","Basketball, Cross Country, Softball, Volleyball",Golf,"Baseball, Basketball",0.632000029,0.810000002,0.870000005,0.470999986,91.0000026,False,False,False,False,False,False,False,False,No data,504 West 158th Street,Manhattan,10032,NY,40.8337,-73.9421,12,7,241,1089242.0,1021160031.0,Washington Heights South                                                   ,MANHATTAN,washington heights south,MN36 Washington Heights South,Percent,15.326195219123505,15.186285558173685,5.122425980944575,37.56787214424752,5.343289371605896,0.33125021343441585,48.07944465869649,22.020771274454553,63.50696401255937,24.00772884630867,MN36,Washington Heights South,False,True,True,Community
06M348,Washington Heights Expeditionary Learning School,0.84,0.86,0.77,0.87,0.9,0.93,2.747,2.667,12.3,20.200000000000003,0.0,0.804,2.1999999999999997,17.0,1.8,72.39999999999999,0.844,0.472,Washington Heights Expeditionary Learning School,2.81,0.773,0.818,0.565,0.423,0.433,Washington Heights Expeditionary Learning School,450.3,453.2,7.199999999999999,28.9,0.531,2.1,Washington Heights Expeditionary Learning School (WHEELS),"We provide a small, nurturing environment for adolescents, a place where high expectations, excellent academic practices, and dedicated faculty provide differentiated instruction to students. Our mission is to work with families to prepare each student academically, emotionally, intellectually, and socially to succeed in college and beyond. Our unique internship program allows students to take advantage of partnerships with New York City organizations and businesses. Consider our school if you strive to become a skilled problem-solver and effective communicator, adventurous and willing to take intellectual risks, and an active and positive contributor to the school and local community.",Washington Heights N.,"511 West 182nd Street, Manhattan NY 10033 (40.849311, -73.930991)",212-781-0524,212-781-0742,a.glynn@wheelsnyc.org,http://schools.nyc.gov/SchoolPortals/06/M348/default.htm,"PK-3, 6-12",760,8am,3pm,Community Service Expected; Internships; Summer Orientation; Uniform,"Academic Tutoring, Aerobics, Band, College Trips, Drama, Homework Help, School Newspaper, Student Government and Planning Committee, Yearbook; Club offerings will expand based on school growth and student interest","Baseball, Basketball, Cross Country, Soccer","Cross Country, Flag Football, Indoor Track, Outdoor Track, Soccer",No data,"Baseball, Basketball, Track",0.74000001,0.860000014,0.790000021,0.584999979,93.9999998,False,False,False,False,False,False,False,False,No data,511 West 182nd Street,Manhattan,10033,NY,40.84931,-73.931,12,10,269,1063703.0,1021550035.0,Washington Heights North                                                   ,MANHATTAN,washington heights north,MN35 Washington Heights North,Percent,14.506172839506172,11.377010592389173,3.216947822675559,29.117300902314632,5.700861973289927,0.717928599450765,45.443155452436194,14.080807666263107,74.06275008720989,36.35934582315885,MN35,Washington Heights North,False,False,True,No Type
06M462,The College Academy,0.76,0.83,0.64,0.86,0.82,0.85,2.301,2.058,44.7,20.3,0.041,0.826,14.399999999999999,21.4,0.9,85.7,0.852,0.463,The College Academy,3.19,0.539,0.485,0.376,0.216,0.178,The College Academy,430.9,444.7,4.0,9.9,0.252,2.0,The College Academy,"We provide a small learning environment that focuses on critical and evaluative skills, theme-based instruction, and an academic curriculum that is geared to achieve optimum success on the New York State Regents Exams as well as the SAT. The goal of our school is to develop literate, self-reliant, high-achieving students who are able to transfer their knowledge and skills to real-life situations and are prepared to succeed in college and the world at large. All students must be respectful and adhere to a strict code of conduct.",Washington Heights N.,"549 Audubon Avenue, Manhattan NY 10040 (40.856532, -73.92606)",212-927-1841,212-927-2388,collegeacademy@collegeacademynyc.org,http://schools.nyc.gov/SchoolPortals/06/M462/default.htm,9-12,477,8am,3:45pm,Extended Day Program (Tutoring); Saturday Programs,"Drill and orienteering competitions, Community service, Academic, Athletic, Field meets, Flights, Marksmanship sports training, Physical fitness training, Visits to naval or other activities; Electronic classroom equipment, Educational training aids, Travel allowances; The Future Project (provides students with guidance, support and decision making skills)","Baseball, Basketball, Football, Soccer, Swimming, Wrestling","Basketball, Flag Football, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Volleyball",No data,"Baseball, Football, Soccer, Swimming, Volleyball",0.522000015,0.850000024,0.810000002,0.416000009,86.0000014,False,False,False,False,False,False,False,False,No data,549 Audubon Avenue,Manhattan,10040,NY,40.85721642672258,-73.92695845679474,12,10,277,1076751.0,1021600018.0,Washington Heights North                                                   ,MANHATTAN,washington heights north,MN35 Washington Heights North,Percent,14.506172839506172,11.377010592389173,3.216947822675559,29.117300902314632,5.700861973289927,0.717928599450765,45.443155452436194,14.080807666263107,74.06275008720989,36.35934582315885,MN35,Washington Heights North,False,False,False,No Type
